trait_id,segment,character,state_options,description
T17c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T17d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T17e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T17f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T17g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T18a,pereopod_5,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T18b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T18c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T18d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T18e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T18f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T18g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T19a,pereopod_6,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T19b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T19c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T19d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T19e,carpus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T19f,propodus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T19g,dactyl,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T20a,pereopod_7,shape,"constriction, basis linear, basis slightly expanded, basis broadly expanded, posteriorly directed, linear distal distal segments, basis glandular",
T20b,basis,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T20c,ischium,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
T20d,merus,shape,"convex, beyond, not beyond, palm absent, palm with digit-form ventral tooth, longer than wide, wider than long, with tooth, elongate, short, moderate, without spine, ventradistal without spine, strong spine, strong basis, proximal spine, devious, setose, triangle, shorter than relative species, longer than relative species, shorter than others, longer than others, without stridulating ridge, with stridulating ridge, long setae, short setae, serrated",
